date,run_id,representation_id,method,parameters,seed,sample_rule,k,silhouette,calinski_harabasz,davies_bouldin,inertia,time_s,notes
2026-06-05,kmeans-orig-k2-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,2,0.11616344997059969,11606.712950161129,2.623760905127874,943187.381978879,0.33,Module E4 — Original R0 reference run
2026-06-05,kmeans-orig-k3-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,3,0.12879631728515797,12009.513622056653,2.2527811372356576,847041.8767778036,0.33,Module E4 — Original R0 reference run
2026-06-05,kmeans-orig-k4-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,4,0.14032526633207001,12956.268996828258,1.9212304558864723,754968.5475315138,0.47,Module E4 — Original R0 reference run
2026-06-05,kmeans-orig-k5-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,5,0.12875649635433334,12141.472867550869,1.9849227974759098,704929.6550295269,0.42,Module E4 — Original R0 reference run
2026-06-05,kmeans-orig-k6-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,6,0.13927397747378364,11822.735398678733,1.8203598463152588,657524.3166896519,0.46,Module E4 — Original R0 reference run
2026-06-05,kmeans-orig-k7-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,7,0.1349131925251615,11478.06547676227,1.8057709608604333,619025.6024087627,0.41,Module E4 — Original R0 reference run
2026-06-05,kmeans-orig-k8-seed12345-E4ref,R0-standard-noLog-noADR-marketSegment-countryRare1pct,KMeans,"init=k-means++,n_init=5,max_iter=300",12345,full TA/TO sub-population,8,0.14217397908032348,11179.466560627916,1.7295561410480682,586003.716463866,0.5,Module E4 — Original R0 reference run
2026-06-05,kmeans-pca21d-k2-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,2,0.13291194400456485,12944.34958890274,2.4712989956054283,845563.5173535892,0.07,Module E4 — PCA 21-dim (90% EVR)
2026-06-05,kmeans-pca21d-k3-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,3,0.14308940286907557,13573.136277290072,2.095651955352718,749411.1685576498,0.13,Module E4 — PCA 21-dim (90% EVR)
2026-06-05,kmeans-pca21d-k4-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,4,0.1569243098949572,14879.350226262108,1.773887476275402,657345.7513607121,0.14,Module E4 — PCA 21-dim (90% EVR)
2026-06-05,kmeans-pca21d-k5-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,5,0.1450391680181771,14084.992270295706,1.826210023556009,607422.2636638753,0.17,Module E4 — PCA 21-dim (90% EVR)
2026-06-05,kmeans-pca21d-k6-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,6,0.1582870698323073,13863.998695609624,1.6672362699986234,560225.909249472,0.22,Module E4 — PCA 21-dim (90% EVR)
2026-06-05,kmeans-pca21d-k7-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,7,0.1552442377363984,13622.862594468133,1.63023763546909,521464.65670565504,0.3,Module E4 — PCA 21-dim (90% EVR)
2026-06-05,kmeans-pca21d-k8-seed12345,R0-PCA21d-EVR0.91,KMeans,"init=k-means++,n_init=5,max_iter=300,PCA_n=21",12345,full TA/TO sub-population,8,0.1650268633095544,13407.777868454186,1.558976581490894,488483.1045325336,0.24,Module E4 — PCA 21-dim (90% EVR)
