k,method,silhouette,calinski_harabasz,davies_bouldin,time_s
2,KMeans-subsample,0.11801961419051586,2405.3820618527375,2.6120493793916677,0.04584360122680664
2,iKMeans-subsample,0.11754326008906837,2405.048767173527,2.6171496922423687,0.06940627098083496
3,KMeans-subsample,0.33577936104010536,2552.588930241897,1.1583283123314871,0.07375884056091309
3,iKMeans-subsample,0.12539608869303873,2487.599827087287,2.250357772013511,0.12916851043701172
4,KMeans-subsample,0.13665293264134562,2644.3061661183265,1.9276168520473567,0.12063074111938477
4,iKMeans-subsample,0.1370156642115915,2644.194577066522,1.9237748297145953,0.12496471405029297
5,KMeans-subsample,0.13227039895375906,2461.0469906688036,2.0128639829647383,0.10336565971374512
5,iKMeans-subsample,0.13629957082933086,2464.597232795159,1.9025462472702515,0.16262292861938477
6,KMeans-subsample,0.12945031476137495,2380.865646103002,1.9179487580176158,0.11380147933959961
6,iKMeans-subsample,0.12752085954788264,1979.619729762504,1.9986410310656881,0.16463088989257812
7,KMeans-subsample,0.13245792330639355,2330.9071704675375,1.800504756452126,0.08970904350280762
7,iKMeans-subsample,0.11522631800654785,2075.008450381665,2.1832334750635516,0.09756326675415039
8,KMeans-subsample,0.1429834639451644,2280.78902827896,1.7354991253148833,0.08964753150939941
8,iKMeans-subsample,0.11906660218120901,2080.130090563969,1.9753425856758682,0.1083979606628418
