,PC1,PC2,PC3,PC4
lead_time,-0.43179555688970667,0.49807961831916325,-0.17260935701046404,-0.04417115236392227
previous_cancellations,-0.44104116889295764,0.14212390303408465,-0.31660598563471165,0.36585964625418366
previous_bookings_not_canceled,1.6653345369377348e-16,7.771561172376096e-16,1.3877787807814457e-16,-1.5265566588595902e-16
total_nights,0.13710593545833985,0.643874949272433,0.2966334339020576,-0.1645251557487448
weekend_share,0.12731028849152956,0.18247433392097173,0.5592508630182778,0.746244621027862
party_size,0.2892487689796608,0.47749272187520087,-0.4159472762572975,0.033651857163344734
required_car_parking_spaces,0.22957219157565728,-0.13167985046044584,-0.4799183191018998,0.5161689548976419
total_of_special_requests,0.47075212686948215,0.09603189601220959,-0.19391293990608213,-0.05052148906764845
is_repeated_guest,-0.004008722247915614,-0.0076519121680902625,-0.006811547374096366,0.006324626779845699
market_segment_Groups,-0.15520638801292244,0.0075572428543900045,-0.014827358111537386,0.037857057788934535
market_segment_Offline TA/TO,-0.09137838784064435,0.014462971082812743,0.06771565575217972,-0.020616714807410556
market_segment_Online TA,0.24695325848970673,-0.015841060864418516,-0.05311890204172285,-0.017229355467351805
market_segment_Other,-0.00036848263616197585,-0.006179153072851924,0.00023060440106726333,-1.0987514196469534e-05
reserved_room_type_A,-0.13196263694135849,-0.10489631874808931,0.056354977745061915,0.015766464556305607
reserved_room_type_D,0.07190096445454838,0.04278085049364829,-0.004067409766383321,-0.02330182280655288
reserved_room_type_E,0.021156370765463884,0.017447561541529412,-0.003093465405340956,-0.00031008389775776684
reserved_room_type_F,0.015738960129128732,0.01586222966875057,-0.01878891997275692,0.00044063201620646254
reserved_room_type_G,0.012414437145070801,0.016332825302016026,-0.016799620701900046,0.004380175182968093
reserved_room_type_Other,0.010751904447124623,0.012472851742077098,-0.013605561898693889,0.0030246349488057054
meal_BB,-0.004172741505996127,-0.004048585878678427,-0.03959962610996747,0.012594046673924915
meal_HB,-0.021028763924624144,0.04439863467437726,0.012184777000643568,-0.002487020586115373
meal_Other,-0.005311352885019995,0.0010941859740520022,0.003714520073730113,0.0016040812446670473
meal_SC,0.03051285831561823,-0.04144423476981858,0.02370032903558052,-0.011711107332501225
customer_type_Contract,-0.010022548930764054,0.02640579872054253,-0.0006703717955562899,0.004923549197752951
customer_type_Other,0.0009022668867547705,-0.0012789500183998203,-5.4362072574639155e-05,0.0007867826344101666
customer_type_Transient,0.10756642977668827,0.010227453812087742,-0.035802748070422157,-0.011057438128576196
customer_type_Transient-Party,-0.09844614773270113,-0.0353543025142983,0.03652748193853963,0.005347106296388681
deposit_type_No Deposit,0.15605211892761456,-0.01852248226798325,0.050005300322332524,-0.031199819967774364
deposit_type_Non Refund,-0.15603154182440604,0.018445164090643316,-0.0503022545449015,0.030622538991653
deposit_type_Other,-2.057710323086493e-05,7.731817727233637e-05,0.00029695422255540064,0.0005772809760970504
country_AUT,0.0012515347224768953,0.00046536667560656157,-0.00016927987730036865,-0.0028215683061098553
country_BEL,0.00807726960920415,0.0014666591060646316,-0.0001475168021836782,-0.001663052172653838
country_BRA,0.008502636361430916,0.0005449804244167665,-6.968586513357053e-05,0.0005885577396032414
country_CHE,0.005858655353634434,0.00013368388055130486,2.988547535170766e-05,-0.0011337488501097477
country_CN,0.002681612964561747,0.002470154631262889,0.0016563212615190459,0.0014505006247794948
country_DEU,0.003469438004361152,0.005117475964115184,0.011767014842467113,-0.011070299333703598
country_ESP,0.03024989277959666,-0.020981304587044856,-0.0131524244087161,0.010683313340811644
country_FRA,0.02876527709415886,-0.006476191594752741,0.00846183356250869,-0.0072256843698722045
country_GBR,0.02614377056747506,0.04260773991986293,0.027328905127789658,-0.02354466663127878
country_IRL,0.007147769897053996,0.013261360513732216,0.0074384824670369375,-0.006404557078839223
country_ITA,0.008779452241677605,-0.0023094197749738564,0.004422304834530561,-0.0014165827902269453
country_NLD,0.007517092964825883,-0.0011420576434734244,0.0003949109566407444,-0.0007255469771780882
country_Other,0.03478818377374748,-0.0033039750326964846,0.014555058024123426,-0.010664823412673812
country_PRT,-0.17931777371086738,-0.027930197090173588,-0.06245505428118769,0.05274893877520657
country_USA,0.006085187376640461,-0.003924275392565481,-6.0755317459781916e-05,0.0011992194422205781
arrival_date_month_April,0.0049034364911158,-0.008116734095106276,0.010594855943049004,-0.001099127488685186
arrival_date_month_August,0.01248731019300864,0.03915537465598868,-0.02448992419886342,0.0019270949944633227
arrival_date_month_December,0.003193853554274491,-0.007466586794360287,-0.000974682233730108,0.005742964876797346
arrival_date_month_February,0.006300044917179448,-0.022376620014136688,0.00684136846740112,0.004605257440364471
arrival_date_month_January,0.0063314011647275445,-0.018758105955500183,0.003709720877290641,0.00136678216413017
arrival_date_month_July,0.005303444864282844,0.04192766105899105,-0.01687844972974617,0.004963698369023335
arrival_date_month_June,-0.0026930884965376684,0.008662694310918663,0.00178674261049247,-0.017096030556263197
arrival_date_month_March,0.00815163818570773,-0.016508533180665384,0.01161459807023585,-0.008282622077406251
arrival_date_month_May,-0.0019733544995422236,-0.005571401653980494,0.00824102251318663,-0.010360706448995949
arrival_date_month_November,0.0022762305271729934,-0.017027784446727506,0.004339042004456942,-0.0067132666538436536
arrival_date_month_October,-0.019281014875920505,-0.005383331979793525,0.0013209399481238695,0.01520121443054416
arrival_date_month_September,-0.024999902025491252,0.01146336809430402,-0.0061052342719101135,0.009744740949846637
